Year,Artist
2015,Florence and the Machine(replacedFoo Fighters)
2015,The Libertines(special guests)
2015,Motörhead
2015,Mary J. Blige
2015,Alabama Shakes
2015,James Bay
2015,Chronixx
2015,Michael Clark Company
2015,Kanye West
2015,Pharrell Williams
2015,Paloma Faith
2015,Burt Bacharach
2015,George Ezra
2015,The Waterboys
2015,Courtney Barnett
2015,"The Unthankswith Orchestra, conducted byCharles Hazlewood"
2015,The Who
2015,Paul Weller
2015,Alt-J
2015,Lionel Richie
2015,Patti Smith
2015,Hozier
2015,Songhoy Blues
2015,Burtle Silver Band
2015,Rudimental
2015,Mark Ronson
2015,The Courteeners
2015,The Vaccines
2015,Jungle
2015,Catfish and the Bottlemen
2015,Everything Everything
2015,The Cribs
2015,The Charlatans
2015,Deadmau5
2015,Ben Howard
2015,The Maccabees
2015,Clean Bandit
2015,Ella Eyre
2015,Young Fathers
2015,The Strypes(replacedAzealia Banks)
2015,Frank Turner
2015,Swim Deep
2015,The Chemical Brothers
2015,Jamie T
2015,Belle & Sebastian
2015,Future Islands
2015,Twin Atlantic
2015,Palma Violets
2015,Adam Cohen
2015,SOAK
2015,Rival Sons
2015,Enter Shikari
2015,Modestep
2015,SBTRKT
2015,Peace
2015,Chet Faker
2015,The Districts
2015,Leon Bridges
2015,Rainy Boy Sleep
2015,Hinds
2015,Weaves
2015,Suede
2015,La Roux
2015,Death from Above 1979
2015,Jessie Ware
2015,Years & Years
2015,The Pop Group
2015,Sleaford Mods
2015,Slaves
2015,Coasts
2015,Sunset Sons
2015,Isaac Lee-Kronick
2015,FFS(Franz Ferdinand&Sparks)
2015,Death Cab for Cutie
2015,Lianne La Havas
2015,Charli XCX
2015,Django Django
2015,Alvvays
2015,Prides
2015,Saint Raymond
2015,Mini Mansions
2015,Gengahr
2015,Lucy Kitchen
2015,Hot Chip
2015,Caribou
2015,Run The Jewels
2015,The Gaslamp Killer Experience
2015,Kasai Allstars
2015,Marcos Valle
2015,Dorian Concept
2015,The Cambodian Space Project
2015,"The Mothership Returns:George Clinton,Parliament,Funkadelic, &The Family Stone"
2015,Todd Terje & The Olsens
2015,Vintage Trouble
2015,Gregory Porter
2015,Soil & Pimp Sessions
2015,Sinkane
2015,Jane Weaver
2015,K.O.G. & The Zongo Brigade
2015,Flying Lotus
2015,FKA Twigs
2015,Roy Ayers
2015,Steel Pulse
2015,Cumbia All Stars
2015,Hiatus Kaiyote
2015,Ibibio Sound Machine
2015,Flamingods
2015,Super Furry Animals
2015,Jamie xx
2015,Sharon Van Etten
2015,Benjamin Booker
2015,Wolf Alice
2015,Glass Animals
2015,Shlomo
2015,King Gizzard & the Lizard Wizard
2015,Pussy RiotIn Conversation
2015,Rhodes
2015,Jon Hopkins
2015,Spiritualized
2015,Mavis Staples
2015,Father John Misty
2015,Kae Tempest
2015,Gaz Coombes
2015,Giant Sand
2015,Ibeyi
2015,Eaves
2015,Flo Morrissy
2015,Ryan Adams
2015,Goat
2015,The Fall
2015,Perfume Genius
2015,Fat White Family
2015,The Staves
2015,Rae Morris
2015,Jack Garratt
2015,Denai Moore
2015,Rag 'N' Bone Man
2015,Muse
2015,Foals
2015,ZZ Top
2015,Jess Glynne
2015,Two Door Cinema Club
2015,Skepta
2015,Rokia Traoré
2015,The Orchestra of Syrian Musicians withDamon Albarn& Guests
2015,Adele
2015,Tame Impala
2015,The Last Shadow Puppets
2015,Madness
2015,Wolf Alice
2015,Baaba Maal
2015,Squeeze
2015,Lewisham and Greenwich NHS Choir
2015,Coldplay
2015,Beck
2015,Ellie Goulding
2015,Jeff Lynne's ELO
2015,Laura Mvula
2015,Gregory Porter
2015,Caravan Palace
2015,Burnham and Highbridge Band
2015,Disclosure
2015,Bastille
2015,Bring Me the Horizon
2015,Editors
2015,The Lumineers
2015,Frightened Rabbit
2015,Christine and the Queens
2015,Blossoms
2015,James
2015,New Order
2015,Chvrches
2015,The 1975
2015,Tom Odell
2015,Band of Skulls
2015,Hurts
2015,St. Paul and The Broken Bones
2015,Shura
2015,HÆLOS
2015,LCD Soundsystem
2015,PJ Harvey
2015,Catfish and the Bottlemen
2015,Years & Years
2015,Jamie Lawson
2015,Paul Heaton+Jacqui Abbott
2015,Bear's Den
2015,Newton Faulkner
2015,Anteros
2015,Underworld
2015,Róisín Murphy
2015,White Denim
2015,Protoje
2015,Vince Staples
2015,DakhaBrakha
2015,Bixiga 70
2015,The Paradise Bangkok Molam International Band
2015,James Blake
2015,Santigold
2015,The Very Bestwith Special Guests
2015,Shibusashirazu Orchestra
2015,Mbongwana Star
2015,Little Simz
2015,Odisee & Good Company
2015,Anna Meredith
2015,"Earth, Wind & Fire"
2015,Gary Clark Jr
2015,Quantic All Stars
2015,Anoushka Shankar
2015,Michael Kiwanuka
2015,Kamasi Washington
2015,Eska
2015,Human Pyramids
2015,Sigur Rós
2015,AlunaGeorge
2015,Explosions in the Sky
2015,Jack Garratt
2015,Half Moon Run
2015,Aurora
2015,Rat Boy
2015,Elle King
2015,X Ambassadors
2015,Dan Stuartwith Twin Tones
2015,M83
2015,Fatboy Slim
2015,Example
2015,John Grant
2015,MØ
2015,Låpsley
2015,Alessia Cara
2015,Dua Lipa
2015,Nothing but Thieves
2015,Palace
2015,Jake Bugg
2015,Mac DeMarco
2015,Of Monsters and Men
2015,Band of Horses
2015,Bat for Lashes
2015,Mystery Jets
2015,Matt Corby
2015,Tired Lion
2015,She Drew the Gun
2015,Richard Hawley
2015,Savages
2015,Ronnie Spector
2015,Daughter
2015,Ezra Furman
2015,Unknown Mortal Orchestra
2015,Nao
2015,Night Beats
2015,Declan McKenna
2015,Gwenno Saunders
2015,Philip Glass'Heroes Symphony
2015,Mercury Rev
2015,Floating Points
2015,Ernest Ranglin & Friends
2015,Kurt Vile
2015,Jagwar Ma
2015,Lady Leshurr
2015,Izzy Bizu
2015,Cat's Eyes
2015,Car Seat Headrest
2015,Grimes
2015,Guy Garvey
2015,Saint Etienne
2015,Kwabs
2015,Nathaniel Rateliff & The Night Sweats
2015,Hinds
2015,C Duncan
2015,Holly Macve
2015,Khruangbin
2015,Radiohead
2015,The xx
2015,Royal Blood
2015,Kris Kristofferson
2015,First Aid Kit
2015,Blossoms
2015,Paul Carrack
2015,"Hacienda Classical –Graeme Park,Mike Pickering&Manchester Camerata Orchestra+ special guests"
2015,Foo Fighters
2015,The National
2015,Katy Perry
2015,Run The Jewels
2015,Craig David
2015,Jools Holland & His Rhythm & Blues Orchestra
2015,Vieux Farka Touré
2015,The Bootleg Beatleswith The Pepperland Sinfonia
2015,Ed Sheeran
2015,Biffy Clyro
2015,Chic
2015,Barry Gibb
2015,Laura Marling
2015,Jamie Cullum
2015,Orchestra Baobab
2015,Black Dyke Band
2015,Major Lazer
2015,Lorde
2015,George Ezra
2015,Halsey
2015,Glass Animals
2015,Circa Waves
2015,Nothing But Thieves
2015,Charli XCX
2015,The Pretenders
2015,Alt-J
2015,Stormzy
2015,Wiley
2015,Liam Gallagher
2015,Kaiser Chiefs
2015,Wild Beasts
2015,British Sea Power
2015,Whitney
2015,Gabrielle Aplin
2015,Boy Better Know
2015,Emeli Sandé
2015,The Courteeners
2015,HAIM
2015,Kodaline
2015,Rag'n'Bone Man
2015,Dropkick Murphys
2015,Deaf Havana
2015,Slaves
2015,Dizzee Rascal
2015,Anderson Paak& The Free Nationals
2015,Little Dragon
2015,Kae Tempest
2015,Pat Thomas& The Kwashibu Area Band
2015,Ata Kak
2015,Henry Wupresents TheKamaal Williams Ensemble
2015,Hot 8 Brass Band
2015,The Jacksons
2015,Solange
2015,The Avalanches
2015,Toots & The Maytals
2015,Badbadnotgood
2015,Thundercat
2015,Afriquoi
2015,Khruangbin
2015,Justice
2015,Moderat
2015,The Cinematic Orchestra
2015,Shaggy
2015,Oumou Sangaré
2015,Yorkston/Thorne/Khan
2015,Ryley Walker
2015,House Gospel Choir
2015,Annie Mac
2015,Clean Bandit
2015,Future Islands
2015,Ride
2015,Declan McKenna
2015,The Lemon Twigs
2015,Dua Lipa
2015,Black Honey
2015,Rews
2015,Dam
2015,Phoenix
2015,Father John Misty
2015,DJ Shadow
2015,Tove Lo
2015,Loyle Carner
2015,Cabbage
2015,The Amazons
2015,Inheaven
2015,Maggie Rogers
2015,Josh Barry
2015,Metronomy
2015,London Grammar
2015,Goldfrapp
2015,"The Killers(secret show, listed in programme as TBA)"
2015,Frank Carter and the Rattlesnakes
2015,King Gizzard and the Lizard Wizard
2015,Real Estate
2015,Sundara Karma
2015,October Drift
2015,The Flaming Lips
2015,Sleaford Mods
2015,Elbow(secret band originally billed as 'TBA')
2015,Angel Olsen
2015,Mark Lanegan
2015,Hamilton Leithauser
2015,Margo Price
2015,Bo Ningen
2015,Georgia
2015,Warpaint
2015,Joe Goddard
2015,Songhoy Blues
2015,Temples
2015,Nadia Rose
2015,Sigrid
2015,The Moonlandingz
2015,Amber Arcades
2015,Kelsey Lu
2015,Kano
2015,Sampha
2015,Nick Mulvey
2015,Lisa Hannigan
2015,Julia Jacklin
2015,All We Are
2015,Dr. Dog
2015,She Drew the Gun
2015,Avalonian Choir
2015,Stormzy[A]
2015,George Ezra
2015,Lauryn Hill
2015,Bastille[B]
2015,Sheryl Crow
2015,Tom Odell
2015,Björn Again
2015,The Killers[C]
2015,Liam Gallagher
2015,Janet Jackson
2015,Hozier
2015,Anne-Marie
2015,Carrie Underwood
2015,The Proclaimers
2015,The Cure
2015,Vampire Weekend
2015,Miley Cyrus[E]
2015,Kylie Minogue[D]
2015,Years & Years
2015,Mavis Staples
2015,Tame Impala
2015,Two Door Cinema Club
2015,The Charlatans
2015,The Lumineers
2015,Mac Demarco
2015,The Wombats
2015,MØ
2015,The Vaccines
2015,The Chemical Brothers
2015,Courteeners
2015,Sigrid
2015,Johnny Marr
2015,Lewis Capaldi
2015,Maggie Rogers
2015,Fantastic Negrito
2015,The Cat Empire
2015,Christine and the Queens
2015,Dave
2015,Billie Eilish
2015,Loyle Carner
2015,Bring Me the Horizon
2015,Babymetal
2015,Slaves
2015,Circa Waves
2015,SK Shlomo
2015,Jon Hopkins
2015,Jorja Smith
2015,Maribou State
2015,The Comet Is Coming
2015,BCUC
2015,Swindle
2015,Acid Mothers Temple
2015,The Mauskovic Dance Band
2015,Wu-Tang Clan
2015,Jungle
2015,Neneh Cherry
2015,Lizzo
2015,Slowthai
2015,Ezra Collective
2015,Grupo Magnetico
2015,The Turbans (music group)
2015,Janelle Monáe
2015,Kamasi Washington
2015,Roy Ayers
2015,Fatoumata Diawara
2015,This Is the Kit
2015,Jeff Goldblum
2015,Hollie Cook
2015,KOKOROKO
2015,Interpol
2015,Pale Waves
2015,Aurora
2015,Rosalía
2015,Pond
2015,Goat Girl
2015,Mahalia
2015,Pip Blom
2015,Sean Paul
2015,Bugzy Malone
2015,Sharon Van Etten
2015,Low
2015,Freya Ridings
2015,Shura
2015,Gerry Cinnamon
2015,She Drew the Gun
2015,Swimming Girls
2015,The Streets
2015,Friendly Fires
2015,Stefflon Don
2015,Tom Walker
2015,Dermot Kennedy
2015,Octavian
2015,Alma
2015,Eyre Llew
2015,Cat Power
2015,Michael Kiwanuka
2015,Idles
2015,SOAK
2015,King Princess
2015,Lukas Nelson & Promise of the Real
2015,Georgia
2015,Steam Down
2015,Lankum
2015,Hot Chip
2015,Kae Tempest
2015,Kurt Vileand theViolators
2015,Foals(Originally billed as TBA)
2015,Sons of Kemet
2015,Love Unlimited Orchestra
2015,Mattiel
2015,Ama Lou
2015,Vampire Weekend(Originally billed as TBA)
2015,Rex Orange County
2015,Little Simz
2015,"The Good, the Bad & the Queen"
2015,Fat White Family
2015,Palace
2015,Koffee
2015,Jessie Buckley
2015,Black Peaches
2015,"Glastonbury in the 90s, narrated bySkinfromSkunk Anansie"
2015,Radiohead(1997)
2015,R.E.M.(1999)
2015,Glastonbury in the 21st Century – performances since 2000
2015,Kylie Minogue(2019)
2015,Arctic Monkeys(2013)
2015,"Glastonbury Legends – includingPaul McCartney,Paul Simon,Kylie Minogue, andMadness"
2015,Live at Worthy Farm: Backstage – narrated byJo Whiley
2015,"Live at Worthy Farm – highlights from the 2021 live-stream includingColdplay,HAIM, andDamon Albarn"
2015,Al Green(1999)
2015,"Best of Glastonbury 1998 – includingPrimal Scream,James,Foo Fighters,The Lightning Seeds,Blur,Robbie Williams"
2015,"Best of Glastonbury 1999 – including R.E.M.,The Beautiful South,Blondie, andBarenaked Ladies"
2015,"Best of Glastonbury 2003 – includingManic Street Preachers, R.E.M.,Radiohead,Macy Gray, and theSugababes"
2015,Iggy PopandThe Stooges(2007)
2015,"Glastonbury 2017 – includingRadiohead,Foo Fighters, andEd Sheeran; hosted byJo WhileyandMark Radcliffe"
2015,Fela Kuti(1984)
2015,Billie Eilish
2015,Sam Fender
2015,Robert Plant&Alison Krauss
2015,Wolf Alice
2015,Crowded House
2015,Rufus Wainwright
2015,Ziggy Marley
2015,Paul McCartney
2015,Noel Gallagher's High Flying Birds
2015,Haim
2015,Greta Thunberg
2015,AJ Tracey
2015,Easy Life
2015,Joy Crookes
2015,Les Amazones D'Afrique
2015,Kendrick Lamar
2015,Lorde
2015,Elbow
2015,Diana Ross
2015,Herbie Hancock
2015,Dakhabrakha
2015,Black Dyke Band
2015,Foals
2015,St. Vincent
2015,Idles
2015,Supergrass
2015,First Aid Kit
2015,Blossoms
2015,Kae Tempest
2015,The Libertines
2015,Megan Thee Stallion
2015,Burna Boy
2015,Olivia Rodrigo
2015,Glass Animals
2015,Metronomy
2015,Skunk Ananise
2015,Tems
2015,Hak Baker
2015,Pet Shop Boys
2015,Years & Years
2015,Kacey Musgraves
2015,Fontaines DC
2015,Declan McKenna
2015,Lianne La Havas
2015,Sea Girls
2015,Kojey Radical
2015,Little Simz
2015,Bonobo
2015,Seun Kuti& Egypt 80
2015,TLC
2015,Sleaford Mods
2015,Greentea Peng
2015,Arooj Aftab
2015,Nubiyan Twist
2015,Roisin Murphy
2015,Caribou
2015,Leon Bridges
2015,Celeste
2015,Yves Tumor
2015,Black Midi
2015,Brass Against
2015,Kikagaku Moyo
2015,Bicep
2015,Angelique Kidjo
2015,Koffee
2015,Snarky Puppy
2015,Nubya Garcia
2015,Nightmares On Wax
2015,Emma-Jean Thackray
2015,Ishmael Ensemble
2015,Primal Scream
2015,The Jesus and Mary Chain
2015,Phoebe Bridgers
2015,Sigrid
2015,Girl In Red
2015,Inhaler
2015,Griff
2015,Bad Boy Chiller Crew
2015,English Teacher
2015,Jamie T
2015,Yungblud
2015,Ghetts
2015,Pa Salieu
2015,Beabadoobee
2015,Self Esteem
2015,Holly Humberstone
2015,Enny
2015,Go_A
2015,Charli XCX
2015,Little Dragon
2015,Turnstile
2015,Amyl and the Sniffers
2015,Clairo
2015,George Ezra(billed as TBA)
2015,Sports Team
2015,Just Mustard
2015,Four Tet
2015,Khruangbin
2015,Saint Etienne
2015,Arlo Parks
2015,Dry Cleaning
2015,Confidence Man
2015,Wet Leg
2015,Orlando Weeks
2015,Matilda Mann
2015,Jessie Ware
2015,Mitski
2015,The Avalanches
2015,Big Thief
2015,Squid
2015,Sampa The Great
2015,Gabriels
2015,Katy J Pearson
2015,Yasmin Williams
2015,Courtney Barnett
2015,Jarv Is...
2015,Jack White(billed as TBA)
2015,Caroline Polachek
2015,Cate Le Bon
2015,Warmduscher
2015,Big Joanie
2015,Deep Throat Choir
2015,Arctic Monkeys
2015,Royal Blood
2015,"Foo Fighters(billed as ""The Churnups"")[30]"
2015,Texas
2015,Stefflon Don
2015,Maisie Peters
2015,The Master Musicians of Joujouka
2015,Guns N' Roses
2015,Lizzo
2015,Lewis Capaldi
2015,Aitch
2015,Amadou & Mariam
2015,Raye
2015,Rick Astley
2015,Elton John
2015,Lil Nas X
2015,Blondie
2015,Yusuf / Cat Stevens
2015,The Chicks
2015,Sophie Ellis-Bextor
2015,Bristol Reggae Orchestra andWindrush Choir[31]
2015,Wizkid
2015,Fred Again..
2015,Chvrches
2015,Krept and Konan
2015,Carly Rae Jepsen
2015,The Lightning Seeds
2015,The Hives
2015,Ben Howard
2015,Lana Del Rey
2015,Central Cee
2015,Manic Street Preachers
2015,Maggie Rogers
2015,Generation Sex
2015,Tom Grennan
2015,The Lathums
2015,The Unthanks
2015,Queens of the Stone Age
2015,The War on Drugs
2015,Becky Hill
2015,Dermot Kennedy
2015,The Teskey Brothers
2015,Nova Twins
2015,Japanese Breakfast
2015,The Joy
2015,Kelis
2015,Young Fathers
2015,Joey Bada$$
2015,Gabriels
2015,Louis Cole
2015,ADG7
2015,Yaya Bey
2015,Star Feminine Band
2015,Loyle Carner
2015,Mahalia
2015,Ezra Collective
2015,Jacob Collier
2015,Third World
2015,Sudan Archives
2015,Kanda Bongo Man
2015,Say She She
2015,Rudimental
2015,Candi Staton
2015,Barrington Levy
2015,The Hu
2015,Speakers Corner Quartet
2015,"Black Country, New Road"
2015,Beth Orton
2015,Skinny Pelembe
2015,Hot Chip
2015,Warpaint
2015,Hozier(billed as TBA)
2015,Courteeners
2015,Pale Waves
2015,Digga D
2015,Flo
2015,Bru-C
2015,The Sixsters
2015,Christine & The Queens
2015,Rina Sawayama
2015,Maneskin
2015,Rick Astley&BlossomsperformThe Smiths(billed as TBA)
2015,Shame
2015,The Murder Capital
2015,Working Men's Club
2015,Wunderhorse
2015,The Last Dinner Party
2015,Phoenix
2015,Caroline Polachek
2015,Editors
2015,Slowdive
2015,Cat Burns
2015,The Big Moon
2015,CMAT
2015,The Love Buzz
2015,Fever Ray
2015,Sparks
2015,Shygirl
2015,The Comet Is Coming
2015,Unknown Mortal Orchestra
2015,Billy Nomates
2015,Los Bitchos
2015,Alabaster DePlume
2015,Adwaith
2015,Fatboy Slim
2015,Leftfield
2015,The Pretenders
2015,Tinariwen
2015,Obongjayar
2015,Jockstrap
2015,Flohio
2015,James Ellis Ford
2015,Max Richter
2015,alt-J
2015,Thundercat
2015,Alison Goldfrapp
2015,Viagra Boys
2015,Weyes Blood
2015,Charlotte Adigery&Bolis Pupul
2015,Gwenno
2015,John Francis Flynn
2015,Dua Lipa
2015,LCD Soundsystem
2015,PJ Harvey
2015,Paul Heaton
2015,Seventeen
2015,Olivia Dean
2015,Squeeze
2015,Coldplay
2015,Little Simz
2015,Michael Kiwanuka
2015,Keane
2015,Cyndi Lauper
2015,Ayra Starr
2015,Femi Kuti
2015,SZA
2015,Burna Boy
2015,Janelle Monae
2015,Shania Twain
2015,Paloma Faith
2015,Seasick Steve
2015,Interlinked byBirmingham Royal Ballet
2015,Idles
2015,D-Block Europe
2015,Anne Marie
2015,Bombay Bicycle Club
2015,Confidence Man
2015,Headie One
2015,The Snuts
2015,Annie Mac
2015,Disclosure
2015,The Streets
2015,Camilla Cabello
2015,Bloc Party
2015,The Last Dinner Party
2015,Tems
2015,The Staves
2015,Jamie Webster
2015,The National
2015,Two Door Cinema Club
2015,Avril Lavigne
2015,Nothing But Thieves
2015,James
2015,Soft Play
2015,Rachel Chinouriri
2015,The Zutons
2015,Jungle
2015,Heilung
2015,Danny Brown
2015,Sugababes
2015,Noname
2015,Squid
2015,Asha Puthli
2015,Sofia Kourtesis
2015,Jessie Ware
2015,Masego
2015,Black Pumas
2015,Nitin Sawhney
2015,Corrine Bailey Rae
2015,Alogte Oho & His Sounds of Joy
2015,The Skatalites
2015,47SOUL
2015,Justice
2015,Nia Archives
2015,Brittany Howard
2015,Jordan Rakei
2015,Steel Pulse
2015,Balming Tiger
2015,Jalen Ngonda
2015,Matthew Halsall
2015,Jamie XX
2015,Sampha
2015,Declan McKenna
2015,Arlo Parks
2015,The Vaccines
2015,Kenya Grace
2015,Remi Wolf
2015,Lambrini Girls
2015,Voice of Braceprot
2015,Gossip
2015,Sleaford Mods
2015,Yard Act
2015,Kasabian(billed as TBA)
2015,Fat White Family
2015,Soccer Mommy
2015,Mannequin Pussy
2015,High Vis
2015,Kneecap
2015,James Blake
2015,Romy
2015,Kim Gordon
2015,Alvvays
2015,Blondshell
2015,NewDad
2015,The K's
2015,Jayhadadream (ETC Competition Winner)
2015,Fontaines D.C.
2015,King Krule
2015,Aurora
2015,Dexys
2015,This Is The Kit
2015,The Mary Wallopers
2015,Barry Can't Swim
2015,Moonchild Sanelly
2015,Lynks
2015,Peggy Gou
2015,Orbital
2015,The Breeders
2015,Lankum
2015,Arooj Aftab
2015,Otoboke Beaver
2015,Bar Italia
2015,Kara Jackson
2015,Johnny Flynn
2015,London Grammar
2015,Ghetts
2015,Mount Kimbie
2015,Baxter Dury
2015,Mdou Moctar
2015,Psychedelic Porn Crumpets
2015,Lime Garden
2015,Problem Patterns
2015,The 1975
2015,Biffy Clyro
2015,Alanis Morissette
2015,Lewis Capaldi(billed as TBA)
2015,Burning Spear
2015,CMAT
2015,Supergrass
2015,Neil Young and the Chrome Hearts
2015,Raye
2015,"Pulp(billed as ""Patchwork"")"
2015,John Fogerty
2015,The Script
2015,Brandi Carlile
2015,Kaiser Chiefs
2015,Olivia Rodrigo
2015,Noah Kahan
2015,Nile Rodgers&Chic
2015,Rod Stewart
2015,The Libertines
2015,Celeste
2015,The Selecter
2015,Loyle Carner
2015,Busta Rhymes
2015,Gracie Abrams
2015,Franz Ferdinand
2015,Wet Leg
2015,Inhaler
2015,Rizzle Kicks
2015,Fabio&Grooveriderand the Outlook Orchestra
2015,Charli XCX
2015,Skepta(replacingDeftoneswho cancelled last minute due to illness[34])
2015,Ezra Collective
2015,Amyl & The Sniffers
2015,Weezer
2015,Beabadoobee
2015,Good Neighbours
2015,Alessi Rose
2015,The Prodigy
2015,Wolf Alice
2015,Snow Patrol
2015,Turnstile
2015,Joy Crookes
2015,Shaboozey
2015,Nadine Shah
2015,Louis Dunford
2015,Maribou State
2015,Badbadnotgood
2015,Denzel Curry
2015,En Vogue
2015,Vieux Farka Toure
2015,Glass Beams
2015,Ca7riel & Paco Amoroso
2015,corto.alto
2015,Doechii
2015,Amaarae
2015,Greentea Peng
2015,Yussef Dayes
2015,Kneecap
2015,Bob Vylan
2015,Nilüfer Yanya
2015,Infinity Song
2015,Overmono
2015,Parcels
2015,The Brian Jonestown Massacre
2015,GOAT
2015,Black Uhuru
2015,Cymande
2015,Abel Selaocoeand the Bantu Ensemble
2015,Thandii
2015,Four Tet
2015,Floating Points
2015,PinkPantheress
2015,Blossoms
2015,Lola Young
2015,Shed Seven
2015,Fat Dog
2015,Myles Smith
2015,Lorde(billed as TBA)
2015,Scissor Sisters
2015,Tom Odell
2015,Father John Misty
2015,TV On The Radio
2015,Nova Twins
2015,JADE
2015,Fcukers
2015,Sorry
2015,The Amazons
2015,Jorja Smith
2015,AJ Tracey
2015,St. Vincent
2015,"Black Country, New Road"
2015,Djo
2015,Sprints
2015,Gurriers
2015,Westside Cowboy (ETC Competition Winner)
2015,Anohni and the Johnsons
2015,Self Esteem
2015,Wunderhorse
2015,Osees
2015,English Teacher
2015,Faye Webster
2015,Jalen Ngonda
2015,John Glacier
2015,Horsegirl
2015,Caribou
2015,Beth Gibbons
2015,Haim(billed as TBA)
2015,Gary Numan
2015,Pa Salieu
2015,Lucy Dacus
2015,Japanese Breakfast
2015,Ichiko Aoba
2015,Yann Tiersen
2015,The Maccabees
2015,Future Islands
2015,Kae Tempest
2015,Girl In Red
2015,Royel Otis
2015,Katy J Pearson
2015,Geordie Greep
2015,Melin Melyn
2015,Glastonbury 2008 previewat UKEvents.net
2015,eFestivals.com Glastonbury 2008 lineup rumours
2015,The Archive: a history of UK rock festivals
2016,Muse
2016,Foals
2016,ZZ Top
2016,Jess Glynne
2016,Two Door Cinema Club
2016,Skepta
2016,Rokia Traoré
2016,The Orchestra of Syrian Musicians withDamon Albarn& Guests
2016,Adele
2016,Tame Impala
2016,The Last Shadow Puppets
2016,Madness
2016,Wolf Alice
2016,Baaba Maal
2016,Squeeze
2016,Lewisham and Greenwich NHS Choir
2016,Coldplay
2016,Beck
2016,Ellie Goulding
2016,Jeff Lynne's ELO
2016,Laura Mvula
2016,Gregory Porter
2016,Caravan Palace
2016,Burnham and Highbridge Band
2016,Disclosure
2016,Bastille
2016,Bring Me the Horizon
2016,Editors
2016,The Lumineers
2016,Frightened Rabbit
2016,Christine and the Queens
2016,Blossoms
2016,James
2016,New Order
2016,Chvrches
2016,The 1975
2016,Tom Odell
2016,Band of Skulls
2016,Hurts
2016,St. Paul and The Broken Bones
2016,Shura
2016,HÆLOS
2016,LCD Soundsystem
2016,PJ Harvey
2016,Catfish and the Bottlemen
2016,Years & Years
2016,Jamie Lawson
2016,Paul Heaton+Jacqui Abbott
2016,Bear's Den
2016,Newton Faulkner
2016,Anteros
2016,Underworld
2016,Róisín Murphy
2016,White Denim
2016,Protoje
2016,Vince Staples
2016,DakhaBrakha
2016,Bixiga 70
2016,The Paradise Bangkok Molam International Band
2016,James Blake
2016,Santigold
2016,The Very Bestwith Special Guests
2016,Shibusashirazu Orchestra
2016,Mbongwana Star
2016,Little Simz
2016,Odisee & Good Company
2016,Anna Meredith
2016,"Earth, Wind & Fire"
2016,Gary Clark Jr
2016,Quantic All Stars
2016,Anoushka Shankar
2016,Michael Kiwanuka
2016,Kamasi Washington
2016,Eska
2016,Human Pyramids
2016,Sigur Rós
2016,AlunaGeorge
2016,Explosions in the Sky
2016,Jack Garratt
2016,Half Moon Run
2016,Aurora
2016,Rat Boy
2016,Elle King
2016,X Ambassadors
2016,Dan Stuartwith Twin Tones
2016,M83
2016,Fatboy Slim
2016,Example
2016,John Grant
2016,MØ
2016,Låpsley
2016,Alessia Cara
2016,Dua Lipa
